ConvertedAccountId,ConvertedContactId,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Phone,MobilePhone,Fax,Email,Website,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IndividualId,IsPriorityRecord,PhotoUrl,IsConverted,ConvertedDate,ConvertedOpportunityId,IsUnreadByOwner,Jigsaw,JigsawContactId,CleanStatus,CompanyDunsNumber,DandbCompanyId,id
1,1,0,,,,Mr.,,,株式会社山口食品,,,静岡県,,Japan,,,Rooftop,33-9517-9912,070-4687-1381,080-0416-5229,yutaendo@example.org,https://maeda.com/,,Web,Closed,Retail,Hot,,,53,2024-04-26,37,2024-02-06,176,2024-03-10,2024-01-01,2024-05-14,2024-05-14,InvalidAddress,2024-01-05,,0,,,,,,,,,,,1
1,1,0,,,,Mr.,,,株式会社山口食品,,,静岡県,,Japan,,,Street,090-5068-0078,090-5052-9858,080-9649-9100,rika16@example.com,http://hashimoto.jp/,,Web,Qualified,Education,Hot,,,122,2024-02-06,26,2024-04-23,126,2024-03-09,2024-07-04,2024-07-12,2024-03-25,Other,2024-04-10,,0,,,,,,,,,,,2
1,1,0,,,,Prof.,,,株式会社山口食品,,,静岡県,,Japan,,,Street,090-6908-2193,090-3815-3951,090-7253-4199,miuraatsushi@example.org,https://goto.jp/,,Web,Open,Healthcare,Warm,,,88,2024-02-21,207,2024-07-29,32,2024-03-18,2024-06-14,2024-03-11,2024-07-09,UnknownUser,2024-05-02,,0,,,,,,,,,,,3
1,1,0,,,,Mrs.,,,株式会社山口食品,,,静岡県,,Japan,,,Rooftop,84-1057-7484,35-4437-3885,070-9022-4062,kyosuke76@example.net,https://fukuda.jp/,,Phone,Qualified,Education,Hot,,,245,2024-01-11,60,2024-07-05,197,2024-07-09,2024-05-03,2024-05-04,2024-05-23,Other,2024-06-28,,1,,,,,,,,,,,4
1,1,0,,,,Mr.,,,株式会社山口食品,,,静岡県,,Japan,,,Block,23-2307-2392,090-8000-3852,090-4723-5312,nakamurayumiko@example.com,http://endo.com/,,Web,Closed,Healthcare,Cold,,,124,2024-07-03,170,2024-01-20,89,2024-07-04,2024-01-02,2024-07-18,2024-06-01,InvalidAddress,2024-04-23,,0,,,,,,,,,,,5
1,1,0,,,,Mrs.,,,株式会社山口食品,,,静岡県,,Japan,,,Block,080-6395-9416,070-1243-8214,82-3352-9900,ishiiosamu@example.net,http://hayashi.org/,,Web,Qualified,Healthcare,Warm,,,126,2024-06-25,42,2024-02-10,191,2024-07-02,2024-05-11,2024-04-04,2024-03-03,UnknownUser,2024-04-03,,0,,,,,,,,,,,6
1,1,0,,,,Dr.,,,株式会社山口食品,,,静岡県,,Japan,,,Rooftop,090-7440-5431,090-1097-3362,070-7323-6934,inoueharuka@example.com,https://www.shimizu.com/,,Referral,Contacted,Technology,Hot,,,62,2024-03-03,248,2024-03-12,57,2024-03-12,2024-01-29,2024-05-08,2024-04-27,Other,2024-02-05,,0,,,,,,,,,,,7
1,1,0,,,,Mr.,,,株式会社山口食品,,,静岡県,,Japan,,,Block,090-2562-2948,080-8740-6990,090-8520-3246,akiramatsumoto@example.net,http://ikeda.com/,,Email,Closed,Technology,Hot,,,53,2024-01-29,223,2024-06-09,10,2024-08-01,2024-07-01,2024-03-08,2024-05-03,MailboxFull,2024-01-02,,1,,,,,,,,,,,8
1,1,0,,,,Mrs.,,,株式会社山口食品,,,静岡県,,Japan,,,Street,090-1966-9548,070-8560-6215,090-9414-8570,saitoshota@example.org,http://matsuda.com/,,Partner,Contacted,Healthcare,Hot,,,252,2024-02-11,132,2024-07-17,165,2024-02-01,2024-06-27,2024-01-29,2024-01-15,UnknownUser,2024-06-18,,0,,,,,,,,,,,9
1,1,0,,,,Mr.,,,株式会社山口食品,,,静岡県,,Japan,,,Street,080-1787-3877,070-8745-0619,75-8585-8734,atsushiito@example.net,https://www.okada.net/,,Partner,Closed,Finance,Hot,,,172,2024-06-23,236,2024-06-10,159,2024-04-26,2024-01-06,2024-01-08,2024-04-01,MailboxFull,2024-01-16,,1,,,,,,,,,,,10
